station	charger	util
199	629	0.6173
4704	11067	0.6071
199	632	0.6018
199	628	0.5835
2229	6129	0.5828
199	631	0.5592
3864	9784	0.5332
2229	6132	0.5323
3043	8063	0.5177
3461	8794	0.5132
440	1494	0.5075
136	1166	0.5039
4695	10996	0.5037
3366	8653	0.4961
416	1451	0.4951
3862	9781	0.4861
3024	8028	0.4834
3864	9785	0.4812
3024	8029	0.4739
199	630	0.4687
3864	9787	0.4684
4695	10987	0.4669
4700	11033	0.4644
133	8819	0.4542
4700	11034	0.4382
2229	6122	0.4256
4701	11031	0.4129
137	1153	0.4074
386	1237	0.4065
133	8820	0.4041
2229	6127	0.3972
412	1446	0.3956
406	1436	0.3922
403	1431	0.3803
4700	11032	0.3796
4695	10994	0.3772
2229	6119	0.3684
3836	9722	0.3665
417	1452	0.3646
387	634	0.3627
3840	9733	0.3594
386	1238	0.3520
387	633	0.3422
2229	6123	0.3382
420	1457	0.3377
4695	10988	0.3377
3137	8185	0.3348
429	1474	0.3325
3381	8669	0.3303
434	1484	0.3251
4703	11063	0.3239
3864	9786	0.3224
417	1453	0.3191
4696	11001	0.3158
2229	6130	0.3125
2229	6121	0.3122
4757	11059	0.3101
3448	8768	0.3086
427	1470	0.3020
4757	11060	0.3017
257	708	0.2996
3404	8702	0.2989
4701	11030	0.2984
2229	6125	0.2966
3467	8813	0.2901
2229	6126	0.2894
4655	10980	0.2894
405	1435	0.2880
412	1445	0.2872
3404	8701	0.2844
436	1487	0.2813
4657	10984	0.2779
4657	10985	0.2773
405	1434	0.2755
3042	8061	0.2722
3842	9739	0.2708
3467	8814	0.2696
4655	10979	0.2686
4704	11069	0.2659
2229	6120	0.2617
3833	9713	0.2572
2229	6124	0.2548
2229	6128	0.2543
4700	11018	0.2543
3368	8655	0.2534
384	1234	0.2529
3835	9718	0.2470
678	2180	0.2412
433	1482	0.2408
3137	8186	0.2367
2229	6118	0.2358
383	1231	0.2336
4695	10992	0.2332
3023	8032	0.2329
257	709	0.2315
4696	11002	0.2284
419	1456	0.2281
3380	8668	0.2177
2229	6131	0.2162
438	1489	0.2148
434	1483	0.2143
3382	8670	0.2139
4695	10990	0.2131
439	1493	0.2112
4756	11058	0.2112
4695	10989	0.2074
4706	11045	0.2067
3053	8125	0.2060
3831	9708	0.2060
138	579	0.2058
441	1495	0.2050
3053	8124	0.2017
3836	9721	0.2010
138	580	0.2003
4695	10991	0.1974
431	1477	0.1960
414	1448	0.1960
430	1476	0.1950
414	1449	0.1943
3447	8767	0.1939
4703	11065	0.1924
439	1492	0.1920
407	9876	0.1886
133	303	0.1885
385	1235	0.1874
4706	11050	0.1874
4703	11064	0.1862
415	1450	0.1855
438	1490	0.1836
438	1491	0.1827
259	712	0.1825
4696	10999	0.1822
3834	9716	0.1815
4704	11068	0.1795
430	1475	0.1784
4703	11062	0.1779
431	3663	0.1753
3837	9724	0.1741
409	1440	0.1727
426	1469	0.1696
3382	8671	0.1672
3023	8033	0.1667
4655	10981	0.1658
433	1481	0.1619
3461	8795	0.1588
4697	11004	0.1581
427	1471	0.1562
437	1488	0.1553
4704	11066	0.1512
382	1230	0.1508
3834	9715	0.1493
435	1485	0.1485
413	1447	0.1479
137	513	0.1466
421	1458	0.1429
3449	8771	0.1391
426	1467	0.1388
4699	11005	0.1388
436	1486	0.1360
3830	9795	0.1346
4695	10993	0.1346
3837	9725	0.1324
3448	8769	0.1319
381	1472	0.1293
259	713	0.1253
4695	10995	0.1246
381	1228	0.1228
4724	11023	0.1215
4755	11049	0.1215
3380	8667	0.1141
3842	9737	0.1136
258	710	0.1134
3029	8037	0.1115
3450	8772	0.1088
3029	8038	0.1014
3831	9707	0.0924
258	711	0.0919
256	707	0.0910
3862	9782	0.0910
4698	11037	0.0907
426	1468	0.0858
678	2179	0.0850
385	1236	0.0837
425	1466	0.0833
3030	8039	0.0800
4655	10978	0.0757
4702	11007	0.0750
3450	8773	0.0743
4697	11003	0.0743
428	1473	0.0733
4656	10982	0.0726
4696	11000	0.0719
260	714	0.0703
3832	9710	0.0698
3041	8062	0.0637
416	10997	0.0626
3449	8770	0.0605
138	1379	0.0603
4724	11019	0.0564
384	1233	0.0560
3842	9738	0.0552
4656	10983	0.0548
4698	11038	0.0536
3450	8774	0.0526
3835	9719	0.0522
3830	9705	0.0517
4707	11057	0.0512
404	1433	0.0505
384	1232	0.0464
382	1229	0.0422
404	9769	0.0422
256	706	0.0419
3838	9727	0.0398
415	11029	0.0383
404	1432	0.0379
4696	10998	0.0353
4707	11056	0.0310
4724	11022	0.0302
3838	9728	0.0295
407	1437	0.0276
138	1380	0.0245
3832	9711	0.0245
4698	11039	0.0224
3367	8654	0.0202
415	11028	0.0164
3839	9730	0.0129
4694	10986	0.0124
4724	11020	0.0114
4707	11055	0.0098
4724	11021	0.0057
4755	11048	0.0034
4699	11006	0.0030
3839	9731	0.0002
