dd	alive	numreport
2021-12-07	228	21757
2021-12-08	227	21580
2021-12-09	228	21378
2021-12-10	227	21577
2021-12-11	226	21671
2021-12-12	226	21675
2021-12-13	229	21806
2021-12-14	231	21996
2021-12-15	229	21971
2021-12-16	230	22026
2021-12-17	230	22080
2021-12-18	230	22079
2021-12-19	230	22064
2021-12-20	231	22110
2021-12-21	232	22179
2021-12-22	231	22160
2021-12-23	232	22213
2021-12-24	232	22272
2021-12-25	232	10208
2021-12-27	231	6237
2021-12-28	231	22173
2021-12-29	232	22135
2021-12-30	233	22074
2021-12-31	231	22095
2022-01-01	230	22080
2022-01-02	230	22080
2022-01-03	233	22127
2022-01-04	232	22165
2022-01-05	230	21774
2022-01-06	228	21844
2022-01-07	229	21780
2022-01-08	228	9119
2022-01-12	229	2519
2022-01-13	229	21750
2022-01-14	229	21931
2022-01-15	228	21880
2022-01-16	228	21870
2022-01-17	228	21533
2022-01-18	226	21694
2022-01-19	228	21744
2022-01-20	228	21779
2022-01-21	227	21733
2022-01-22	227	21748
2022-01-23	226	21662
2022-01-24	227	21748
2022-01-25	229	21691
