dd	tt2.cnt/tt1.cnt
2021-12-07	0.2331
2021-12-08	0.2260
2021-12-09	0.2191
2021-12-10	0.2051
2021-12-11	0.2041
2021-12-12	0.2127
2021-12-13	0.1956
2021-12-14	0.2322
2021-12-15	0.2119
2021-12-16	0.2209
2021-12-17	0.2254
2021-12-18	0.2086
2021-12-19	0.2200
2021-12-20	0.2550
2021-12-21	0.2051
2021-12-22	0.1897
2021-12-23	0.2115
2021-12-24	0.2176
2021-12-25	0.1568
2021-12-27	0.2190
2021-12-28	0.2133
2021-12-29	0.2061
2021-12-30	0.2199
2021-12-31	0.2166
2022-01-01	0.2292
2022-01-02	0.2168
2022-01-03	0.2320
2022-01-04	0.2593
2022-01-05	0.2203
2022-01-06	0.2306
2022-01-07	0.2559
2022-01-08	0.2132
2022-01-12	0.2013
2022-01-13	0.2279
2022-01-14	0.2591
2022-01-15	0.2260
2022-01-16	0.1933
2022-01-17	0.2342
2022-01-18	0.2360
2022-01-19	0.2351
2022-01-20	0.2257
2022-01-21	0.2301
2022-01-22	0.2068
2022-01-23	0.1725
2022-01-24	0.2363
2022-01-25	0.2053
2022-01-26	0.1978
