lon	lat	interface	station	charger	util
126.51732	33.49801	10	199	629	0.6173
126.51546	33.47712	7	4704	11067	0.6071
126.51732	33.49801	10	199	632	0.6018
126.51732	33.49801	10	199	628	0.5835
126.49338	33.50476	3	2229	6129	0.5828
126.51732	33.49801	10	199	631	0.5592
126.25227	33.22668	10	3864	9784	0.5332
126.49338	33.50476	3	2229	6132	0.5323
126.54541	33.49304	10	3043	8063	0.5177
126.56405	33.45701	10	3461	8794	0.5132
126.33709	33.24978	10	440	1494	0.5075
126.53665	33.49860	10	136	1166	0.5039
126.52974	33.49597	7	4695	10996	0.5037
126.58725	33.52258	10	3366	8653	0.4961
126.40797	33.42383	10	416	1451	0.4951
126.53670	33.49831	10	3862	9781	0.4861
126.49794	33.49056	10	3024	8028	0.4834
126.25227	33.22668	10	3864	9785	0.4812
126.49794	33.49056	10	3024	8029	0.4739
126.51732	33.49801	10	199	630	0.4687
126.25227	33.22668	10	3864	9787	0.4684
126.52974	33.49597	7	4695	10987	0.4669
126.47978	33.48731	7	4700	11033	0.4644
126.51082	33.25437	10	133	8819	0.4542
126.47978	33.48731	10	4700	11034	0.4382
126.49338	33.50476	10	2229	6122	0.4256
126.47200	33.48262	7	4701	11031	0.4129
126.50122	33.48929	10	137	1153	0.4074
126.46889	33.49565	10	386	1237	0.4065
126.51082	33.25437	10	133	8820	0.4041
126.49338	33.50476	3	2229	6127	0.3972
126.40624	33.47385	10	412	1446	0.3956
126.46819	33.50311	10	406	1436	0.3922
126.52339	33.50413	10	403	1431	0.3803
126.47978	33.48731	7	4700	11032	0.3796
126.52974	33.49597	7	4695	10994	0.3772
126.49338	33.50476	10	2229	6119	0.3684
126.58861	33.28952	10	3836	9722	0.3665
126.75133	33.55466	10	417	1452	0.3646
126.49759	33.50530	10	387	634	0.3627
126.86010	33.52020	10	3840	9733	0.3594
126.46889	33.49565	10	386	1238	0.3520
126.49759	33.50530	10	387	633	0.3422
126.49338	33.50476	10	2229	6123	0.3382
126.55028	33.42222	10	420	1457	0.3377
126.52974	33.49597	7	4695	10988	0.3377
126.39441	33.41289	10	3137	8185	0.3348
126.91003	33.46044	10	429	1474	0.3325
126.29036	33.20759	10	3381	8669	0.3303
126.32836	33.25608	10	434	1484	0.3251
126.47693	33.49651	7	4703	11063	0.3239
126.25227	33.22668	10	3864	9786	0.3224
126.75133	33.55466	10	417	1453	0.3191
126.49570	33.50351	7	4696	11001	0.3158
126.49338	33.50476	3	2229	6130	0.3125
126.49338	33.50476	10	2229	6121	0.3122
126.48909	33.26122	7	4757	11059	0.3101
126.25499	33.32534	10	3448	8768	0.3086
126.71137	33.29443	10	427	1470	0.3020
126.48909	33.26122	7	4757	11060	0.3017
126.58817	33.52391	10	257	708	0.2996
126.45527	33.46510	10	3404	8702	0.2989
126.47200	33.48262	7	4701	11030	0.2984
126.49338	33.50476	10	2229	6125	0.2966
126.54027	33.51995	10	3467	8813	0.2901
126.49338	33.50476	10	2229	6126	0.2894
126.57065	33.43879	7	4655	10980	0.2894
126.26870	33.33935	10	405	1435	0.2880
126.40624	33.47385	10	412	1445	0.2872
126.45527	33.46510	10	3404	8701	0.2844
126.27268	33.28221	10	436	1487	0.2813
126.53499	33.49678	7	4657	10984	0.2779
126.53499	33.49678	7	4657	10985	0.2773
126.26870	33.33935	10	405	1434	0.2755
126.58250	33.51991	10	3042	8061	0.2722
126.56749	33.44732	10	3842	9739	0.2708
126.54027	33.51995	10	3467	8814	0.2696
126.57065	33.43879	7	4655	10979	0.2686
126.51546	33.47712	7	4704	11069	0.2659
126.49338	33.50476	10	2229	6120	0.2617
126.19025	33.34665	10	3833	9713	0.2572
126.49338	33.50476	10	2229	6124	0.2548
126.49338	33.50476	3	2229	6128	0.2543
126.47978	33.48731	7	4700	11018	0.2543
126.52876	33.42559	10	3368	8655	0.2534
126.88315	33.44609	3	384	1234	0.2529
126.59288	33.26944	10	3835	9718	0.2470
126.24869	33.35376	10	678	2180	0.2412
126.35329	33.25784	10	433	1482	0.2408
126.39441	33.41289	10	3137	8186	0.2367
126.49338	33.50476	10	2229	6118	0.2358
126.56401	33.25623	10	383	1231	0.2336
126.52974	33.49597	7	4695	10992	0.2332
126.55262	33.51428	10	3023	8032	0.2329
126.58817	33.52391	10	257	709	0.2315
126.49570	33.50351	7	4696	11002	0.2284
126.64686	33.54134	10	419	1456	0.2281
126.85443	33.37222	10	3380	8668	0.2177
126.49338	33.50476	3	2229	6131	0.2162
126.31110	33.23398	10	438	1489	0.2148
126.32836	33.25608	10	434	1483	0.2143
126.34460	33.31436	10	3382	8670	0.2139
126.52974	33.49597	7	4695	10990	0.2131
126.42189	33.24467	10	439	1493	0.2112
126.72112	33.27917	7	4756	11058	0.2112
126.52974	33.49597	7	4695	10989	0.2074
126.55929	33.25153	7	4706	11045	0.2067
126.58947	33.27072	10	3053	8125	0.2060
126.52887	33.50430	10	3831	9708	0.2060
126.81312	33.55710	10	138	579	0.2058
126.33353	33.24603	10	441	1495	0.2050
126.58947	33.27072	10	3053	8124	0.2017
126.58861	33.28952	10	3836	9721	0.2010
126.81312	33.55710	10	138	580	0.2003
126.52974	33.49597	7	4695	10991	0.1974
