station	charger	hs	util
3461	8794	10	0.8750
199	629	12	0.8631
3461	8794	11	0.8480
199	629	13	0.8452
199	632	12	0.8333
199	629	15	0.8333
199	632	16	0.8204
199	629	16	0.8144
199	632	10	0.8125
3461	8794	12	0.8095
199	632	15	0.8095
199	631	11	0.8070
199	629	10	0.8068
199	631	12	0.7917
199	632	13	0.7917
199	631	13	0.7917
199	631	10	0.7898
3461	8794	9	0.7833
3461	8794	14	0.7798
2229	6129	10	0.7784
199	629	18	0.7733
199	632	9	0.7722
199	632	11	0.7719
3461	8794	13	0.7679
3461	8794	15	0.7679
199	632	20	0.7674
199	631	9	0.7667
199	632	14	0.7619
3461	8794	16	0.7605
199	629	11	0.7544
199	632	17	0.7544
3024	8029	10	0.7500
2229	6132	14	0.7440
2229	6129	11	0.7427
199	629	19	0.7427
199	631	16	0.7425
2229	6129	9	0.7389
3024	8028	10	0.7386
2229	6129	13	0.7381
199	629	14	0.7381
199	631	15	0.7381
2229	6129	12	0.7321
199	628	12	0.7321
199	632	19	0.7310
2229	6129	16	0.7305
2229	6132	13	0.7262
199	629	17	0.7251
199	628	10	0.7216
416	1451	16	0.7186
199	629	7	0.7167
199	629	9	0.7167
2229	6132	12	0.7143
2229	6129	14	0.7143
2229	6129	15	0.7143
2229	6132	11	0.7135
3043	8063	16	0.7126
2229	6132	15	0.7083
3024	8028	9	0.7056
2229	6132	10	0.7045
199	628	11	0.7018
2229	6129	17	0.7018
199	628	17	0.7018
3833	9713	9	0.7000
199	628	13	0.6964
2229	6129	8	0.6944
199	632	18	0.6860
199	630	12	0.6845
416	1451	15	0.6845
199	630	15	0.6845
199	628	19	0.6842
3862	9781	4	0.6833
2229	6129	18	0.6802
199	629	20	0.6802
3404	8702	12	0.6786
199	630	13	0.6786
199	631	18	0.6744
199	631	14	0.6726
3836	9722	14	0.6726
199	628	15	0.6726
199	631	17	0.6725
3862	9781	5	0.6722
199	629	8	0.6722
4704	11067	9	0.6667
4757	11059	9	0.6629
3024	8029	11	0.6608
4701	11031	19	0.6604
199	628	18	0.6570
3461	8794	17	0.6550
199	628	16	0.6527
403	1431	16	0.6503
3862	9781	3	0.6500
2229	6132	9	0.6500
4701	11031	20	0.6500
2229	6132	17	0.6491
3366	8653	17	0.6491
2229	6132	16	0.6467
3366	8653	21	0.6457
4695	10996	20	0.6453
3024	8029	0	0.6444
4704	11067	13	0.6442
4704	11067	14	0.6442
3024	8029	13	0.6429
4757	11059	10	0.6416
4704	11067	12	0.6408
386	1237	16	0.6407
2229	6132	18	0.6395
4704	11067	10	0.6389
199	630	11	0.6374
3024	8028	11	0.6374
440	1494	19	0.6374
199	628	14	0.6369
3862	9781	6	0.6333
3862	9781	9	0.6333
2229	6132	19	0.6316
4695	10996	19	0.6316
3024	8028	12	0.6310
386	1237	14	0.6310
386	1238	16	0.6287
403	1431	17	0.6287
3366	8653	18	0.6279
3024	8028	20	0.6279
4704	11067	17	0.6275
3864	9784	11	0.6257
4704	11067	11	0.6250
438	1489	13	0.6250
4704	11067	15	0.6250
4695	10996	21	0.6229
4695	10996	2	0.6222
4695	10996	3	0.6222
3864	9784	6	0.6222
3043	8063	9	0.6222
4704	11067	16	0.6214
199	631	19	0.6199
4700	11033	19	0.6199
3864	9784	10	0.6193
440	1494	23	0.6193
416	1451	13	0.6190
199	630	14	0.6190
4695	10996	4	0.6167
3366	8653	9	0.6167
3366	8653	20	0.6163
4704	11067	20	0.6154
2229	6129	19	0.6140
3366	8653	22	0.6136
136	1166	23	0.6136
416	1451	12	0.6131
3381	8669	12	0.6131
386	1238	15	0.6131
438	1489	15	0.6131
3862	9781	7	0.6111
3053	8124	9	0.6111
440	1494	20	0.6105
4700	11033	20	0.6105
199	630	10	0.6080
3043	8063	10	0.6080
436	1487	13	0.6071
438	1489	14	0.6071
4695	10996	1	0.6056
3862	9781	8	0.6056
4757	11060	9	0.6056
133	8819	16	0.6048
4700	11033	18	0.6047
412	1446	10	0.6023
133	8819	12	0.6012
438	1490	15	0.6012
386	1237	15	0.6012
4695	10996	0	0.6000
4695	10996	5	0.6000
2229	6132	8	0.6000
3024	8029	9	0.6000
440	1494	21	0.6000
440	1494	22	0.5966
3042	8061	19	0.5965
420	1457	12	0.5952
438	1489	12	0.5952
3836	9722	12	0.5952
4695	10996	6	0.5944
3864	9784	9	0.5944
199	630	16	0.5928
4704	11067	0	0.5926
4704	11067	1	0.5926
4704	11067	2	0.5926
4704	11067	3	0.5926
4704	11067	4	0.5926
4704	11067	5	0.5926
4704	11067	6	0.5926
4704	11067	7	0.5926
4704	11067	8	0.5926
3381	8669	10	0.5909
136	1166	22	0.5909
4695	10996	22	0.5909
4695	10996	23	0.5909
387	634	11	0.5906
3836	9722	15	0.5893
136	1166	3	0.5889
136	1166	4	0.5889
199	631	6	0.5889
199	628	9	0.5889
2229	6129	20	0.5872
3366	8653	16	0.5868
4704	11067	18	0.5865
199	629	6	0.5833
416	1451	14	0.5833
137	1153	18	0.5833
3864	9784	21	0.5829
3864	9785	21	0.5829
3864	9784	22	0.5795
403	1431	13	0.5793
3366	8653	19	0.5789
136	1166	0	0.5778
440	1494	0	0.5778
136	1166	1	0.5778
136	1166	2	0.5778
436	1487	12	0.5774
3043	8063	13	0.5774
3043	8063	14	0.5774
4704	11067	19	0.5769
4704	11067	21	0.5769
4704	11067	23	0.5769
440	1494	18	0.5756
3024	8028	18	0.5756
199	628	20	0.5756
4700	11033	9	0.5739
199	629	22	0.5739
4700	11034	22	0.5739
386	1237	11	0.5731
3043	8063	17	0.5731
4704	11067	22	0.5728
3862	9781	2	0.5722
3864	9787	2	0.5722
3864	9784	5	0.5722
199	632	7	0.5722
3368	8655	9	0.5722
4701	11031	7	0.5714
136	1166	13	0.5714
3024	8029	14	0.5714
3043	8063	15	0.5714
3404	8702	16	0.5689
4757	11059	11	0.5673
